random_id,participant_id,trial_type,trial_index,trial_number,time_elapsed,rt,stimulus,response,question_order,correct_key,correct,object_num,angle,correct_response,correct_response_key,age,year,major,minor,gender,about,difficulties,trial_kind
p059dy6tho6,turtle,image-keyboard-response,142,57,303615,1540,stimuli/19_50_R.jpg,j,NA,NA,TRUE,19,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,144,58,305329,1319,stimuli/34_50_R.jpg,j,NA,NA,TRUE,34,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,146,59,308056,2332,stimuli/38_50.jpg,f,NA,NA,TRUE,38,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,148,60,310541,2091,stimuli/2_50.jpg,f,NA,NA,TRUE,2,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,150,61,313981,3044,stimuli/40_0_R.jpg,j,NA,NA,TRUE,40,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,152,62,318879,4503,stimuli/38_100.jpg,f,NA,NA,TRUE,38,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,154,63,321434,2160,stimuli/20_50_R.jpg,j,NA,NA,TRUE,20,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,156,64,324203,2374,stimuli/48_50.jpg,f,NA,NA,TRUE,48,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,158,65,326137,1539,stimuli/36_0_R.jpg,j,NA,NA,TRUE,36,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,160,66,330787,4255,stimuli/7_100_R.jpg,f,NA,NA,FALSE,7,100,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,162,67,336833,4648,stimuli/33_150_R.jpg,j,NA,NA,TRUE,33,150,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,164,68,343277,6050,stimuli/31_150.jpg,f,NA,NA,TRUE,31,150,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,166,69,346280,2608,stimuli/41_100.jpg,f,NA,NA,TRUE,41,100,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,168,70,348654,1979,stimuli/8_50.jpg,f,NA,NA,TRUE,8,50,same,f,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,170,71,354554,5505,stimuli/11_50_R.jpg,j,NA,NA,TRUE,11,50,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
p059dy6tho6,turtle,image-keyboard-response,172,72,357638,2689,stimuli/47_0_R.jpg,j,NA,NA,TRUE,47,0,different,j,22,4th year,Language & Culture,,Woman,spatial reasoning,no,experimental
